"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0244824300701861
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0392430377700854
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0498686271392354
"CLPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0334318811905741
"CLPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0694095699733221
"CLPM",5,"Scenario~0","No~Confounding","Scenario 0",6.77431166265376e-13
"CLPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0357315506797733
"CLPM",5,"Scenario~2","Step","Scenario 2",0.0929276208728969
"CLPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0899220321427402
"CLPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.097913362982328
"CLPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0451068908455342
"CLPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0296255956534208
"CLPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0368907860528385
"CLPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0372981470003796
"CLPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0650593593232333
"CLPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0511626563341284
"CLPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0538451944464376
"CLPM lag 2",2,"Scenario~0","No~Confounding","Scenario 0",3.14461301322739e-15
"CLPM lag 2",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0357315506800178
"CLPM lag 2",2,"Scenario~2","Step","Scenario 2",0.0357315506798806
"CLPM lag 2",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0327244736737346
"CLPM lag 2",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0355229552694721
"CLPM lag 2",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0357315506798814
"CLPM lag 2",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0357315506798294
"CLPM lag 2",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0328169114271794
"CLPM lag 2",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0382508002383721
"CLPM lag 2",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0353816357480414
"CLPM lag 2",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0339536816602276
"CLPM lag 2",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0271380863143512
"CLPM lag 2",3,"Scenario~0","No~Confounding","Scenario 0",4.56572039200905e-12
"CLPM lag 2",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0052568868047735
"CLPM lag 2",3,"Scenario~2","Step","Scenario 2",0.00318176249310859
"CLPM lag 2",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0240979267071226
"CLPM lag 2",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00878481739613334
"CLPM lag 2",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00262868322788125
"CLPM lag 2",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00476189619890167
"CLPM lag 2",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.012220547489924
"CLPM lag 2",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00787518277692537
"CLPM lag 2",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00508491064558557
"CLPM lag 2",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00398040533632949
"CLPM lag 2",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0565005255777482
"CLPM lag 2",4,"Scenario~0","No~Confounding","Scenario 0",3.32284232717294e-12
"CLPM lag 2",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.00525688680892858
"CLPM lag 2",4,"Scenario~2","Step","Scenario 2",0.066263998399275
"CLPM lag 2",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0432668441861249
"CLPM lag 2",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0277567593948882
"CLPM lag 2",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0315450662408399
"CLPM lag 2",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00328251971825023
"CLPM lag 2",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0227870549930028
"CLPM lag 2",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00775697068230132
"CLPM lag 2",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0216024222688492
"CLPM lag 2",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00714995843229664
"CLPM lag 2",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.030782614618872
"CLPM lag 2",5,"Scenario~0","No~Confounding","Scenario 0",8.55297878249283e-12
"CLPM lag 2",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.00525688657507418
"CLPM lag 2",5,"Scenario~2","Step","Scenario 2",0.0486913580971331
"CLPM lag 2",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.066208660039656
"CLPM lag 2",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0512929865034926
"CLPM lag 2",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0243016302399465
"CLPM lag 2",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00334117231921803
"CLPM lag 2",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0349423582123825
"CLPM lag 2",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00733938677492253
"CLPM lag 2",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0323915644740254
"CLPM lag 2",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0128301300418292
"CLPM lag 2",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0302094517081755
"DPM",2,"Scenario~0","No~Confounding","Scenario 0",1.06132232523862e-08
"DPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.75690375662137e-08
"DPM",2,"Scenario~2","Step","Scenario 2",0.00685243916138335
"DPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.00750762002595624
"DPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0107109908746943
"DPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0096596668461507
"DPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00631581110339028
"DPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00896086726638144
"DPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00109685916598191
"DPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00604371796374978
"DPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00680836297278621
"DPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.00557277508587659
