"lhs","op","rhs","est","se","z","model","time","effect_type","effect","estRef","Bias","RelBiasPercent","Scenario","ScenarioSubtitle","effect_parsed","model_lab","Scenario_plain"
"X5","~","Y4",0.14999999997908,0.0334383313098431,4.48586978187291,"model_covariates",5,"cross","Y[t-1] -> X[t]",0.14999999997908,0,0,"Scenario~6","Chaotic~Effects","Y[t-1] %->% X[t]","True Model","Scenario 6"
"Y5","~","X4",0.100000000013004,0.0755568396171211,1.32350691902609,"model_covariates",5,"cross","X[t-1] -> Y[t]",0.100000000013004,0,0,"Scenario~6","Chaotic~Effects","X[t-1] %->% Y[t]","True Model","Scenario 6"
"X5","~","Y4",0.0959675949576238,0.0379152925788882,2.5311052198252,"model_clpm",5,"cross","Y[t-1] -> X[t]",0.14999999997908,-0.0540324050214562,-36.0216033526613,"Scenario~6","Chaotic~Effects","Y[t-1] %->% X[t]","CLPM","Scenario 6"
"Y5","~","X4",0.153657330710185,0.0460702291946168,3.33528470329685,"model_clpm",5,"cross","X[t-1] -> Y[t]",0.100000000013004,0.0536573306971813,53.6573306902036,"Scenario~6","Chaotic~Effects","X[t-1] %->% Y[t]","CLPM","Scenario 6"
"X5","~","Y4",0.115066984639084,0.0389973392945913,2.95063680549721,"model_clpm_lag2",5,"cross","Y[t-1] -> X[t]",0.14999999997908,-0.0349330153399964,-23.2886768965789,"Scenario~6","Chaotic~Effects","Y[t-1] %->% X[t]","CLPM lag 2","Scenario 6"
"Y5","~","X4",0.124594844681608,0.0589649080189348,2.1130338173613,"model_clpm_lag2",5,"cross","X[t-1] -> Y[t]",0.100000000013004,0.0245948446686039,24.5948446654056,"Scenario~6","Chaotic~Effects","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 6"
"X5","~","Y4",0.174947024257566,0.0417198712798244,4.19337401796275,"model_dpm",5,"cross","Y[t-1] -> X[t]",0.14999999997908,0.0249470242784859,16.6313495213102,"Scenario~6","Chaotic~Effects","Y[t-1] %->% X[t]","DPM","Scenario 6"
"Y5","~","X4",0.101758140955035,0.060520455990066,1.68138424092076,"model_dpm",5,"cross","X[t-1] -> Y[t]",0.100000000013004,0.00175814094203126,1.75814094180263,"Scenario~6","Chaotic~Effects","X[t-1] %->% Y[t]","DPM","Scenario 6"
"X5","~","Y4",0.164942704600726,0.0486246498628366,3.39216230998078,"model_dpm_free",5,"cross","Y[t-1] -> X[t]",0.14999999997908,0.0149427046216463,9.96180308248691,"Scenario~6","Chaotic~Effects","Y[t-1] %->% X[t]","DPM-free","Scenario 6"
"Y5","~","X4",0.112675599146769,0.0573020563288774,1.96634477653092,"model_dpm_free",5,"cross","X[t-1] -> Y[t]",0.100000000013004,0.0126755991337646,12.6755991321163,"Scenario~6","Chaotic~Effects","X[t-1] %->% Y[t]","DPM-free","Scenario 6"
"X5","~","Y4",0.155879077043952,0.0457548705029542,3.40683025283369,"model_riclpm",5,"cross","Y[t-1] -> X[t]",0.14999999997908,0.00587907706487217,3.91938471046141,"Scenario~6","Chaotic~Effects","Y[t-1] %->% X[t]","RICLPM","Scenario 6"
"Y5","~","X4",0.0875376657544931,0.079226889077599,1.10489843503453,"model_riclpm",5,"cross","X[t-1] -> Y[t]",0.100000000013004,-0.0124623342585109,-12.4623342568903,"Scenario~6","Chaotic~Effects","X[t-1] %->% Y[t]","RICLPM","Scenario 6"
"X5","~","Y4",0.162891084551494,0.0483528236748289,3.36880190590173,"model_riclpm_free",5,"cross","Y[t-1] -> X[t]",0.14999999997908,0.0128910845724139,8.59405638280787,"Scenario~6","Chaotic~Effects","Y[t-1] %->% X[t]","RICLPM-free","Scenario 6"
"Y5","~","X4",0.107114152877441,0.0824905309679152,1.29850240531368,"model_riclpm_free",5,"cross","X[t-1] -> Y[t]",0.100000000013004,0.00711415286443655,7.11415286351142,"Scenario~6","Chaotic~Effects","X[t-1] %->% Y[t]","RICLPM-free","Scenario 6"
