"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.38242853858096
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.414587074261025
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.40356657327158
"CLPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.408658380708213
"CLPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.425775900461211
"CLPM",5,"Scenario~0","No~Confounding","Scenario 0",7.58975729130052e-11
"CLPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.409124269875868
"CLPM",5,"Scenario~2","Step","Scenario 2",0.398515472534442
"CLPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.371096826930962
"CLPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.417387291488356
"CLPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.396148466771211
"CLPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.417384247961536
"CLPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.378944646555582
"CLPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.42226500276228
"CLPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.412724559245049
"CLPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.409210254841027
"CLPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.404308114946649
"CLPM lag 2",2,"Scenario~0","No~Confounding","Scenario 0",6.09280722379399e-11
"CLPM lag 2",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.40912427047577
"CLPM lag 2",2,"Scenario~2","Step","Scenario 2",0.409124270130843
"CLPM lag 2",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.391625354392309
"CLPM lag 2",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.402145360226189
"CLPM lag 2",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.409124259556916
"CLPM lag 2",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.409124269924951
"CLPM lag 2",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.40122501952662
"CLPM lag 2",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.408722916624066
"CLPM lag 2",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.406154879719436
"CLPM lag 2",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.408980869214834
"CLPM lag 2",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.431761165932035
"CLPM lag 2",3,"Scenario~0","No~Confounding","Scenario 0",2.07374230228344e-09
"CLPM lag 2",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.227795423061077
"CLPM lag 2",3,"Scenario~2","Step","Scenario 2",0.21915313425124
"CLPM lag 2",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.198774818043724
"CLPM lag 2",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.212115441458415
"CLPM lag 2",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.223264285583498
"CLPM lag 2",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.228424502650438
"CLPM lag 2",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.204299263580376
"CLPM lag 2",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.237537471809975
"CLPM lag 2",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.220209604924253
"CLPM lag 2",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.227616064568128
"CLPM lag 2",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.30844550706218
"CLPM lag 2",4,"Scenario~0","No~Confounding","Scenario 0",1.40149373226426e-09
"CLPM lag 2",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.227795425036464
"CLPM lag 2",4,"Scenario~2","Step","Scenario 2",0.268629206544005
"CLPM lag 2",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.213779561581098
"CLPM lag 2",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.255634128226333
"CLPM lag 2",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.218734297445007
"CLPM lag 2",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.253270203848993
"CLPM lag 2",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.208687091074082
"CLPM lag 2",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.251239269869854
"CLPM lag 2",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.239931519748229
