"lhs","op","rhs","est","se","z","model","time","effect_type","effect","estRef","Bias","RelBiasPercent","Scenario","ScenarioSubtitle","effect_parsed","model_lab","Scenario_plain"
"X4","~","X3",0.200000000000125,0.0491934955163203,4.0655781399753,"model_covariates",4,"auto","X[t-1] -> X[t]",0.200000000000125,0,0,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","True Model","Scenario 0"
"Y4","~","Y3",0.299999999999869,0.0481663782614948,6.22841099596843,"model_covariates",4,"auto","Y[t-1] -> Y[t]",0.299999999999869,0,0,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","True Model","Scenario 0"
"X4","~","X3",0.199999999999836,0.0491934955218264,4.06557813951439,"model_clpm",4,"auto","X[t-1] -> X[t]",0.200000000000125,-2.88463697373231e-13,-1.44231848686526e-10,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM","Scenario 0"
"Y4","~","Y3",0.300000000000172,0.0481663783203723,6.22841098836124,"model_clpm",4,"auto","Y[t-1] -> Y[t]",0.299999999999869,3.02258218454199e-13,1.00752739484777e-10,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM","Scenario 0"
"X4","~","X3",0.199999999996956,0.0500040080454297,3.99967938200578,"model_clpm_lag2",4,"auto","X[t-1] -> X[t]",0.200000000000125,-3.16838222325089e-12,-1.58419111162446e-09,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM lag 2","Scenario 0"
"Y4","~","Y3",0.300000000003354,0.0500040080454304,5.99951907316697,"model_clpm_lag2",4,"auto","Y[t-1] -> Y[t]",0.299999999999869,3.48471251854221e-12,1.16157083951458e-09,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"X4","~","X3",0.200000004640259,0.0617496778348511,3.23888336996927,"model_dpm",4,"auto","X[t-1] -> X[t]",0.200000000000125,4.64013433232324e-09,2.32006716616017e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM","Scenario 0"
"Y4","~","Y3",0.300000002558799,0.0644288585309478,4.65629858108842,"model_dpm",4,"auto","Y[t-1] -> Y[t]",0.299999999999869,2.5589295127304e-09,8.52976504243839e-07,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM","Scenario 0"
"X4","~","X3",0.199999830388487,NA,NA,"model_dpm_free",4,"auto","X[t-1] -> X[t]",0.200000000000125,-1.6961163759599e-07,-8.48058187979421e-05,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM-free","Scenario 0"
"Y4","~","Y3",0.279163694522225,NA,NA,"model_dpm_free",4,"auto","Y[t-1] -> Y[t]",0.299999999999869,-0.0208363054776445,-6.94543515921785,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM-free","Scenario 0"
"X4","~","X3",0.199999986184376,0.0542159857570679,3.68894862634315,"model_riclpm",4,"auto","X[t-1] -> X[t]",0.200000000000125,-1.38157492668434e-08,-6.90787463341737e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM","Scenario 0"
"Y4","~","Y3",0.300000016506755,0.054062060778495,5.54917833665139,"model_riclpm",4,"auto","Y[t-1] -> Y[t]",0.299999999999869,1.65068860247253e-08,5.50229534157749e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM","Scenario 0"
"X4","~","X3",0.199999985621368,NA,NA,"model_riclpm_free",4,"auto","X[t-1] -> X[t]",0.200000000000125,-1.43787572959297e-08,-7.18937864796039e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM-free","Scenario 0"
"Y4","~","Y3",0.30000000439882,NA,NA,"model_riclpm_free",4,"auto","Y[t-1] -> Y[t]",0.299999999999869,4.39895064818785e-09,1.46631688272992e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"X5","~","X4",0.199999999999851,0.0491934955165366,4.06557813995186,"model_covariates",5,"auto","X[t-1] -> X[t]",0.199999999999851,0,0,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","True Model","Scenario 0"
"Y5","~","Y4",0.300000000000156,0.0481663782646195,6.22841099557034,"model_covariates",5,"auto","Y[t-1] -> Y[t]",0.300000000000156,0,0,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","True Model","Scenario 0"
"X5","~","X4",0.200000000000512,0.0491934955217537,4.06557813953414,"model_clpm",5,"auto","X[t-1] -> X[t]",0.199999999999851,6.61387611344821e-13,3.30693805672657e-10,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM","Scenario 0"
"Y5","~","Y4",0.299999999999463,0.0481663783202896,6.22841098835722,"model_clpm",5,"auto","Y[t-1] -> Y[t]",0.300000000000156,-6.9333427887841e-13,-2.31111426292683e-10,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM","Scenario 0"
"X5","~","X4",0.199999999991707,0.0500040080454077,3.99967938190257,"model_clpm_lag2",5,"auto","X[t-1] -> X[t]",0.199999999999851,-8.14373568580606e-12,-4.07186784290607e-09,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM lag 2","Scenario 0"
"Y5","~","Y4",0.300000000009139,0.0500040080454081,5.99951907328532,"model_clpm_lag2",5,"auto","Y[t-1] -> Y[t]",0.300000000000156,8.98259244763722e-12,2.99419748254418e-09,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
