"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.213537498430089
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.222563755795886
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.21165910603503
"CLPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.207299854626993
"CLPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.230164841543747
"CLPM",5,"Scenario~0","No~Confounding","Scenario 0",6.77490214830367e-13
"CLPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.210001383709711
"CLPM",5,"Scenario~2","Step","Scenario 2",0.29901241644168
"CLPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.285104977953801
"CLPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.16144790253514
"CLPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.236742547818596
"CLPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.226662719319244
"CLPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.227496299427272
"CLPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.237257958069314
"CLPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.181057051261213
"CLPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.198389955540449
"CLPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.218018261453966
"CLPM lag 2",2,"Scenario~0","No~Confounding","Scenario 0",3.15463363275141e-15
"CLPM lag 2",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.210001383709686
"CLPM lag 2",2,"Scenario~2","Step","Scenario 2",0.210001383709691
"CLPM lag 2",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.202039702878979
"CLPM lag 2",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.20344008435313
"CLPM lag 2",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.21000138370969
"CLPM lag 2",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.210001383709692
"CLPM lag 2",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.205691876416912
"CLPM lag 2",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.210066016079076
"CLPM lag 2",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.207194201765883
"CLPM lag 2",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.209667718637328
"CLPM lag 2",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.216742653980609
"CLPM lag 2",3,"Scenario~0","No~Confounding","Scenario 0",4.57114652518784e-12
"CLPM lag 2",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.135205844643134
"CLPM lag 2",3,"Scenario~2","Step","Scenario 2",0.143536078752969
"CLPM lag 2",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.143878318808873
"CLPM lag 2",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.127954787493698
"CLPM lag 2",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.136362305425679
"CLPM lag 2",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.136071609908631
"CLPM lag 2",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.134955549975505
"CLPM lag 2",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.14056670820474
"CLPM lag 2",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.131603336879435
"CLPM lag 2",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.13374530441609
"CLPM lag 2",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.189100237684912
