"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0167620023539562
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0340785720555477
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0114967975395989
"CLPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0292945610977013
"CLPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0450221904654548
"CLPM",5,"Scenario~0","No~Confounding","Scenario 0",7.95839921741148e-11
"CLPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0294531660937333
"CLPM",5,"Scenario~2","Step","Scenario 2",0.049022234250012
"CLPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0193530389660144
"CLPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0203768239043323
"CLPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00283375912469594
"CLPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0392219232456565
"CLPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0198979502847779
"CLPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0486204931185185
"CLPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.044262138268812
"CLPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0121007103945085
"CLPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0326835751788529
"CLPM lag 2",2,"Scenario~0","No~Confounding","Scenario 0",6.38874925185107e-11
"CLPM lag 2",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0294531660894236
"CLPM lag 2",2,"Scenario~2","Step","Scenario 2",0.0294531660983793
"CLPM lag 2",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0235625328716703
"CLPM lag 2",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0309258243955848
"CLPM lag 2",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0294531660911368
"CLPM lag 2",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0294531660892541
"CLPM lag 2",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0309288469407937
"CLPM lag 2",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0268826221466255
"CLPM lag 2",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0290842458776873
"CLPM lag 2",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.03009580207723
"CLPM lag 2",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0371891302883245
