"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0119307094793837
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0478783029852025
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0202794010302082
"CLPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0356701319805525
"CLPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0453232649687582
"CLPM",5,"Scenario~0","No~Confounding","Scenario 0",7.58975276438659e-11
"CLPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.039857490755803
"CLPM",5,"Scenario~2","Step","Scenario 2",0.0703961990169159
"CLPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0773465904671784
"CLPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.112780008747653
"CLPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0122406566158754
"CLPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0412232827676209
"CLPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.02655136331189
"CLPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0560361222018618
"CLPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0840765037030543
"CLPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0434623178530423
"CLPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0372810149944383
"CLPM lag 2",2,"Scenario~0","No~Confounding","Scenario 0",6.0928068750335e-11
"CLPM lag 2",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0398574907521245
"CLPM lag 2",2,"Scenario~2","Step","Scenario 2",0.0398574907593494
"CLPM lag 2",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0401521977426575
"CLPM lag 2",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0375432974770951
"CLPM lag 2",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0398574907535318
"CLPM lag 2",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0398574907519485
"CLPM lag 2",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0424069186950152
"CLPM lag 2",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.040596386107133
"CLPM lag 2",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0370255913896803
"CLPM lag 2",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0379455907928718
"CLPM lag 2",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0492284221857345
"CLPM lag 2",3,"Scenario~0","No~Confounding","Scenario 0",2.05112238001245e-09
"CLPM lag 2",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0088447598227146
"CLPM lag 2",3,"Scenario~2","Step","Scenario 2",0.0112388440889869
"CLPM lag 2",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0373014266053469
"CLPM lag 2",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0145247638102923
"CLPM lag 2",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00880350680472817
"CLPM lag 2",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00624911974502668
"CLPM lag 2",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0232668434905196
"CLPM lag 2",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00527026396890485
"CLPM lag 2",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0092938186148066
"CLPM lag 2",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00779339731378958
"CLPM lag 2",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0760455088581928
"CLPM lag 2",4,"Scenario~0","No~Confounding","Scenario 0",1.38680100787258e-09
"CLPM lag 2",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.00884475981927704
"CLPM lag 2",4,"Scenario~2","Step","Scenario 2",0.087623463553326
"CLPM lag 2",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0576882510445118
