"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0380367289592095
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0566525629068266
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0593059338986053
"CLPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0569373655176217
"CLPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0564215968494609
"CLPM",5,"Scenario~0","No~Confounding","Scenario 0",7.95839921741148e-11
"CLPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0589063323263447
"CLPM",5,"Scenario~2","Step","Scenario 2",0.0297612067359689
"CLPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0338801945611196
"CLPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0606965218856611
"CLPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.02298954119246
"CLPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0644392567424167
"CLPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.029853620348633
"CLPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0623287453514048
"CLPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0582595310122256
"CLPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0620391457816711
"CLPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0575335352738817
"CLPM lag 2",2,"Scenario~0","No~Confounding","Scenario 0",6.38874925185107e-11
"CLPM lag 2",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0589063300612896
"CLPM lag 2",2,"Scenario~2","Step","Scenario 2",0.0589063313636359
"CLPM lag 2",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0530156989639251
"CLPM lag 2",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0578754713677951
"CLPM lag 2",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0589063712878414
"CLPM lag 2",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0589063321410242
"CLPM lag 2",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0603820130309785
"CLPM lag 2",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0563357882179483
"CLPM lag 2",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0591645763227734
"CLPM lag 2",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0584564869932644
"CLPM lag 2",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0833310124845024
"CLPM lag 2",3,"Scenario~0","No~Confounding","Scenario 0",1.92284128897047e-09
"CLPM lag 2",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0148745020750344
"CLPM lag 2",3,"Scenario~2","Step","Scenario 2",0.0118995978202101
