"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0481813661516442
"CLPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.084608769189161
"CLPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0780232056444862
"CLPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.077181452293872
"CLPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0802434181482919
"CLPM",5,"Scenario~0","No~Confounding","Scenario 0",7.58975276438659e-11
"CLPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0797149815762818
"CLPM",5,"Scenario~2","Step","Scenario 2",0.0211766225346386
"CLPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0300498748860435
"CLPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.082755277622322
"CLPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0358042189222365
"CLPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0806037976307054
"CLPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0300745291576415
"CLPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0891989872558724
"CLPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0805325804671681
"CLPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0835517756718814
"CLPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0820391168655375
"CLPM lag 2",2,"Scenario~0","No~Confounding","Scenario 0",6.0928068750335e-11
"CLPM lag 2",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",0.0797149804880426
"CLPM lag 2",2,"Scenario~2","Step","Scenario 2",0.0797149811137517
"CLPM lag 2",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0791119122612453
"CLPM lag 2",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0783779275908228
"CLPM lag 2",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0797150002952743
"CLPM lag 2",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0797149814872463
"CLPM lag 2",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0815954800037835
"CLPM lag 2",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0798686353154104
"CLPM lag 2",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0789322116610136
